candidate_id,layer_count,sources_per_layer_mean,radius,z_extent,angular_offset_fraction,orientation_alpha,eig_smooth_background,eig_center_weak_target,eig_eccentric_roi_target,eig_weighted,eig_weighted_minmax,eig_weighted_zscore
cand_0138,4,12.0,1.4467907089323555,0.3843146893967635,0.2245062706398509,0.4626415277699791,3.2560055255889893,3.2890713214874268,3.3339099884033203,3.292070859670639,0.4210373251633592,0.17497582596394085
cand_0045,1,48.0,1.3322608109862917,0.0,0.015527676753516963,0.4130014026930846,3.2549705505371094,3.2815587520599365,3.3327009677886963,3.288874101638794,0.4146013592008616,0.145536414889894
cand_0211,3,16.0,1.4759597509617992,0.2928279686688532,0.08752659660831005,0.13527525266800697,3.2521307468414307,3.285842180252075,3.3314473628997803,3.288864862918854,0.41458275907958886,0.14545133417017492
cand_0237,1,48.0,1.3446821598633014,0.0,0.7531874067271133,0.8058638759351939,3.253147840499878,3.2800052165985107,3.327298402786255,3.2859754204750056,0.4087655051510918,0.11884203717869724
cand_0054,3,16.0,1.4321257292806178,0.33754960974010206,0.2512227022219577,0.5325661062387369,3.2498795986175537,3.2840828895568848,3.326436758041382,3.2858767449855804,0.40856684385582104,0.11793332020131461
cand_0209,3,16.0,1.4267907455855362,0.2801042252529916,0.6007757331570497,0.682902684788785,3.2508175373077393,3.2834718227386475,3.325054168701172,3.2855570852756504,0.40792327965978337,0.11498952729903844
cand_0139,2,24.0,1.4881113332850078,0.3341157589795981,0.27048618785320827,0.6401727897435262,3.248375654220581,3.2852330207824707,3.3241896629333496,3.284993851184845,0.4067893322664455,0.10980262238945067
cand_0189,4,12.0,1.453643336813707,0.4598863056958479,0.6340256790464568,0.7704316669696485,3.2495012283325195,3.2832350730895996,3.3241186141967773,3.2847153782844547,0.40622868861104977,0.10723812482476086
cand_0128,2,24.0,1.415799017349462,0.17338607809369394,0.6950771836414035,0.6328452270150318,3.2490596771240234,3.2804155349731445,3.3258464336395264,3.2842060267925257,0.4052032219250052,0.10254743262888545
cand_0058,4,12.0,1.4716927895521057,0.5479536997429969,0.3781059364465518,0.3065314135468236,3.2479937076568604,3.2818753719329834,3.3249475955963135,3.284015262126923,0.40481915942091945,0.10079065299366186
cand_0116,2,24.0,1.6522334800356682,0.5275344307582637,0.8723681892568467,0.10087580116664778,3.2443830966949463,3.2822959423065186,3.3223934173583984,3.2820581257343298,0.4008788977304136,0.08276709843758612
cand_0238,2,24.0,1.572901052378188,0.4226548223405139,0.8810404271608955,0.605333993016272,3.244333505630493,3.282505989074707,3.3214545249938965,3.2818038940429686,0.4003670583932197,0.08042584170327116
cand_0167,4,12.0,1.4746017121251378,0.5331812078059036,0.32186009585218195,0.3322780184194664,3.245610237121582,3.279353380203247,3.322381019592285,3.281527262926102,0.39981012276200006,0.07787830539173744
cand_0197,4,12.0,1.408387131417135,0.19975415124542895,0.5379861077595891,0.5358182001332238,3.2428629398345947,3.2726972103118896,3.320587396621704,3.2778195261955263,0.3923454140920995,0.043733216936992954
cand_0207,2,24.0,1.6798173121932507,0.5420623792710667,0.9146656551427992,0.7965301254341685,3.2410993576049805,3.27939510345459,3.315546751022339,3.277740877866745,0.392187073059716,0.04300893300364244
cand_0234,3,16.0,1.5364587894269723,0.505524103157116,0.8332572747572412,0.7426712986631275,3.2420897483825684,3.2761237621307373,3.317366600036621,3.2776157796382908,0.3919352154176045,0.041856885167860784
cand_0000,2,24.0,1.6701876710645158,0.4712200462666467,0.04284699555566399,0.012759249289374523,3.239346742630005,3.2770421504974365,3.3189940452575684,3.277483123540878,0.39166814167628267,0.040635235814263676
cand_0029,3,16.0,1.611735111301898,0.48757608386161344,0.05317846059326116,0.933184439056235,3.2409121990203857,3.276390314102173,3.3157474994659424,3.276764059066773,0.39022046423742685,0.034013266171565096
